description,name,operation,price,type
"Detalles de Oficina en Venta en Zona 10 en Edificio Ciudad Vieja   Oficina en Venta en la Zona 10 con un área de 56.74 m2 de construcción + 1.80 m2 de parqueo de moto, para un total de 58.54 m2 de construcción,  estará ubicado en edificio de uso mixto que contara con circuito cerrado, cámaras de seguridad las 245 hrs. cercano a centros comerciales de renombre, supermercados, tiendas de conveniencia, bancos del sistema.",Oficina en Venta en Zona 10 en Edificio Ciudad Vieja,Venta,"Q1,100,486",Oficinas
"Detalles de Renta local comercial Puerto de San Jose 50 mtrs2   En Alquiler local comercial en el puerto de San José, en área de Gasolinera.     Alto trafico, 50 metros de local. La Renta incluye agua potable, áreas comunes y extracción de basura.   Local incluye contador de energía eléctrica, baño propio, no incluye línea telefónica.  Local ideal para comida rápida, minimarket, petshop, farmacia, venta de celulares etc. Contrato mínimo 1 año. Sobre carretera Principal.  Renta + Iva.    Cercania con gasolinera, acceso a energia Trifasica",Renta local comercial Puerto de San Jose 50 mtrs2,Renta,"Q3,300",Locales comerciales
"Detalles de VENTA casa en LIKIN Puerto de San José Escuintla   CityMax vende hermosa casa vacacional dentro de condominio Likin Puerto de San José, a tan solo hora y media de la Ciudad de Guatemala. Tu casa vacacional o inversión es esta. Amplios ambientes iluminados con acceso directo a playa privada. Terreno de 845 Vrs2, construcción de 258mts2, 4 habitaciones, 4.5 baños, 3 parqueos. Cocina con barra y bar, sala comedor. Área social con hermosa piscina con amplio jardín, reciente construccion  Precio más Imp",VENTA casa en LIKIN Puerto de San José Escuintla,Venta,"USD280,000",Casas
"Detalles de Apartamentos en Venta en la Zona 11 Las charcas   Apartamento en Venta en la Zona 11 Las Charcas, Proyecto ubicado en sector exclusivo de la ciudad, cercano a áreas de comercio, tiendas de conveniencia, restaurantes, gasolineras, centros comerciales.  Salón Social Senderos Área infantil Business center área BBQ Sky Lounge El apartamento cuenta con 67 m2 de construcción solo de apartamento + 25 m2 de dos parqueos para vehículos, para un total de 92 m2 de construcción, cuenta con 2 habitaciones + 1 baños completo + sala + comedor + cocina.",Apartamentos en Venta en la Zona 11 Las charcas,Venta,"Q932,999",Apartamentos
"Detalles de APARTAMENTO DE UNA HABITACION EN ZONA 10   Amplio apartamento con 70 metros cuadrados en piso 3,  acceso por gradas, de 1 recamara, un baño completo y closet, un parqueo bajo techo, sala-comedor, cocina, muy bien iluminado y fresco, entorno natural, se entrega con línea blanca (refrigerador, estufa eléctrica, lava-secadora). también cuenta con portón eléctrico, bastante accesible al columpio vista hermosa, cerca de los hospitales y universidades de renombre. zona 10 ciudad de Guatemala, a 300 metros del campo marte. (no hay elevador) precio de renta incluye mantenimiento e impuestos.",APARTAMENTO DE UNA HABITACION EN ZONA 10,Renta,"Q4,500",Apartamentos
"Detalles de Local comercial en Renta en El Naranjo Mixco   Local  EN PRIMER NIVEL  ubicado en Plaza Comercial en Condado Naranjo cerca de viviendas, colegios, 10 proyectos Industriales como Pepsi, Nestlé, Codisa edificios de oficinas ubicado estratégicamente para atender a las zonas 3 y 4 de Mixco como zonas de centro 1, 2, 3, 7, 1 Plaza ubicada sobre el Boulevard el Naranjo cuenta con Todos los Bancos del sistema, Restaurantes, Supermercados, Empresas de Telefonía, gasolineras de fácil acceso. I Exposición de Marca a más de 85 mil vehículos que transitan sobre el Bulevar, Tráfico mensual de personas de 220 mil aproximadamente Local comercial de 74 mts2  Renta incluye impuestos y mantenimiento",Local comercial en Renta en El Naranjo Mixco,Renta,"USD2,072",Locales comerciales
"Detalles de Apartamento nuevo en Renta en zona 10 Guatemala   Hermosa vista a la ciudad edificio bien ubicado en zona 10, excelente amenidades tales como: gimnasio equipado, salón social, juegos para niños, jardín. Cuenta con espacios amplios e iluminados apartamento de 2 habitaciones con baño privado cada una, balcón en área social del apartamento, cocina equipada con linea blanca (refrigeradora, estufa, microondas, lavadora y secadora) 2. parqueos 1. balcón en sala En el primer nivel cuenta con bonita área social con plaza comercial, lobby con recepción y cafetería. Parqueo para visitas, juegos para niños, salón social,  La renta cuenta con el mantenimiento incluido",Apartamento nuevo en Renta en zona 10 Guatemala,Renta,"USD1,175",Apartamentos
"Detalles de Finca en Venta en San Pedro Carchá Cobán, Alta Verapaz   Finca en venta en Aldea Chijam, San Pedro Carcha, Alta Verapaz de 84,035.098 Varas2 Cercana a Centros Comerciales, mercados, agencias bancarias y vías de acceso y tránsporte público y extraurbano. La finca se ubica a 5 kilómetros del parque central de San Pedro Carcha, camino hacia el Oeste sobre carretera asfaltada y luego 2 kilómetros en terracería. La finca se conforma de 7 construcciones, las cuales se dividen en:  Casa Principal, Guardiania, Bodega, Establo, gallenero y dos tanques de captación.   La finca tiene forma de polígono regular ubicado a orilla de calle. Según plano topográfico, el inmueble posee un  área   física de 8 Manzanas (58,719Mts2)   La topografía es plana y con áreas de pendiente.  Cuenta con 2 nacimientos de agua,. árboles frutales como: Banano, Platano, Naranja, Tomate de Árbol, Durazno, Aguacate, Uva y más, 2 Manzanas de pasto para ganado, caballos u ovejas y 3 Manzanas de pino. Casa Principal:  cuenta con un un área de 114.54 m2. Está construida con Pinus Maximinoi y un área de block, el cual fue utilizado para cimientos y el muro. La vivienda cuenta con una habitación con baño privado y walk in closet, tres habitaciones, un servicio sanitario general, área de sala, comedor y cocina, la cual incluye gabinetes, azulejos y lavatrastos. Guardianía:  cuenta con construcción de madera y lamina, con dos ambientes, uno utilizado como habitación y un servicio sanitario, con un área total de 17m2 Bodega  de construcción de madera y lamina, con un área de 15 m2. único ambiente, utilizado como bodega. Establo : cuenta con una construcción a base de vigas y columnas de madera y techo de lámina, con un área de 150 m2. Gallinero:  con construcción a base de vigas y columnas de madera y techo de lámina, con un área de 10.24 m2. Dos tanques de captación de Agua: , uno con 3 m2 y el segundo con 12.06 m2 de área de construcción. El tanque de mayor área cuenta con bomba de pozo sumergible Goulds serie GA de 4” y motor centripro, la cual se encarga de enviar el agua hacia el tanque de distribución, y continuamente este distribuye a toda la propiedad por gravedad. Sistema de energía eléctrica, posee una acometida monofásica 110v del servicio de energía eléctrica proveniente de la red nacional de electrificación. Además de un sistema de drenajes con fosa séptica.","Finca en Venta en San Pedro Carchá Cobán, Alta Verapaz",Venta,"USD2,270,000",Fincas
"Detalles de Casa en venta para Inversión entrada a Olmeca, CES!!   Casa en Venta Para Inversión. La casa se encuentra ubicada en un excelente condominio que cuenta con doble ingreso, 1er ingreso por el Colegio Julio Verne, carretera a San José Pinula y el 2do ingreso se encuentra en el km 16.5 entrada a Olmeca CES. El condominio cuenta con excelente seguridad y bonitas amenidades tales como área de juego para niños, suficientes área verdes, salón social y canchas deportivas. La casa esta distribuida en 2 niveles En el primer nivel cuenta con sala, comedor, cocina con gabinetes, 1 estudio, baño de visitas, lavandería y pila, cuarto de servicio con baño, bodega y 2 parqueos. En el segundo nivel: Sala familiar Habitación principal con baño completo y WC 2 habitaciones secundarias muy bien iluminadas 1 baño completo que comparten las habitcaiones Balcón","Casa en venta para Inversión entrada a Olmeca, CES!!",Venta,"USD150,000",Casas
